"Date","Hour","Active followers"
"March 1","0","296"
"March 1","1","189"
"March 1","2","155"
"March 1","3","118"
"March 1","4","105"
"March 1","5","107"
"March 1","6","137"
"March 1","7","181"
"March 1","8","238"
"March 1","9","253"
"March 1","10","278"
"March 1","11","289"
"March 1","12","352"
"March 1","13","373"
"March 1","14","362"
"March 1","15","355"
"March 1","16","362"
"March 1","17","341"
"March 1","18","383"
"March 1","19","403"
"March 1","20","431"
"March 1","21","436"
"March 1","22","411"
"March 1","23","376"
"March 2","0","287"
"March 2","1","184"
"March 2","2","133"
"March 2","3","87"
"March 2","4","77"
"March 2","5","111"
"March 2","6","181"
"March 2","7","245"
"March 2","8","283"
"March 2","9","317"
"March 2","10","343"
"March 2","11","352"
"March 2","12","386"
"March 2","13","391"
"March 2","14","388"
"March 2","15","380"
"March 2","16","384"
"March 2","17","386"
"March 2","18","399"
"March 2","19","409"
"March 2","20","415"
"March 2","21","449"
"March 2","22","398"
"March 2","23","353"
"March 3","0","275"
"March 3","1","162"
"March 3","2","113"
"March 3","3","89"
"March 3","4","83"
"March 3","5","117"
"March 3","6","179"
"March 3","7","231"
"March 3","8","270"
"March 3","9","311"
"March 3","10","319"
"March 3","11","356"
"March 3","12","394"
"March 3","13","383"
"March 3","14","391"
"March 3","15","392"
"March 3","16","382"
"March 3","17","389"
"March 3","18","402"
"March 3","19","414"
"March 3","20","436"
"March 3","21","166"
"March 3","22","425"
"March 3","23","385"
"March 4","0","284"
"March 4","1","176"
"March 4","2","101"
"March 4","3","82"
"March 4","4","91"
"March 4","5","120"
"March 4","6","170"
"March 4","7","233"
"March 4","8","283"
"March 4","9","308"
"March 4","10","341"
"March 4","11","367"
"March 4","12","377"
"March 4","13","401"
"March 4","14","381"
"March 4","15","372"
"March 4","16","382"
"March 4","17","352"
"March 4","18","365"
"March 4","19","410"
"March 4","20","436"
"March 4","21","444"
"March 4","22","466"
"March 4","23","402"
"March 5","0","306"
"March 5","1","0"
"March 5","2","0"
"March 5","3","0"
"March 5","4","0"
"March 5","5","0"
"March 5","6","0"
"March 5","7","0"
"March 5","8","0"
"March 5","9","0"
"March 5","10","0"
"March 5","11","0"
"March 5","12","0"
"March 5","13","0"
"March 5","14","0"
"March 5","15","0"
"March 5","16","0"
"March 5","17","0"
"March 5","18","0"
"March 5","19","0"
"March 5","20","0"
"March 5","21","0"
"March 5","22","0"
"March 5","23","0"
